x,y,rho,ux,uy,speed
1,23,1.000913767033194,-4.810808198702117e-05,0.0004170346449608046,0.000419800289006635
1,24,1.000913867624125,-5.109266384765369e-05,0.0004748211202541432,0.000477562097049639
1,25,1.000913587568722,-5.4046444728414e-05,0.0005363271809540061,0.0005390434706198126
1,26,1.000912889039214,-5.695619787917884e-05,0.0006014942317489253,0.0006041848386910102
1,27,1.000911734372371,-5.980819308563252e-05,0.000670268426970115,0.0006729314854821111
1,28,1.000910086123538,-6.258830783836545e-05,0.0007425576219954171,0.0007451906590004727
1,29,1.000907907504862,-6.528207793799319e-05,0.0008182728271737878,0.0008208728095088092
1,30,1.000905162469167,-6.787482369622475e-05,0.0008972866201661321,0.0008998501377568124
1,31,1.000901816191891,-7.035171883273175e-05,0.0009794736113101902,0.0009819969040662732
1,32,1.000897835161654,-7.269794955004473e-05,0.001064670300837607,0.001067149399734837
1,33,1.000893187690717,-7.489878646584786e-05,0.001152714651726947,0.00115514540059684
1,34,1.000887844005421,-7.693975484890702e-05,0.001243407364801213,0.001245785535603182
1,35,1.000881776770247,-7.88067172860256e-05,0.00133655065520043,0.001338871970207046
1,36,1.000874961161064,-8.048604776598069e-05,0.001431910890106202,0.001434171119877166
1,37,1.000867375387401,-8.196471761426305e-05,0.001529256655001615,0.001531451642005164
1,38,1.000859000734177,-8.323046524939981e-05,0.00162832268242422,0.001630448425569739
1,39,1.000849822065429,-8.427188244095236e-05,0.001728847284316922,0.001730899963215707
1,40,1.000839827818438,-8.50785719613196e-05,0.001830537480099295,0.001832513527768692
1,41,1.000829010473311,-8.564122810940916e-05,0.001933105860185335,0.001935001986209567
1,42,1.000817366484795,-8.595177572976617e-05,0.002036236804875495,0.002038050056618008
1,43,1.00080489670307,-8.600343963710565e-05,0.002139622831621251,0.002141350614267629
1,44,1.000791606230245,-8.579085877780201e-05,0.0022429317802494,0.002244571906244613
1,45,1.000777504780307,-8.531013937099171e-05,0.002345842684667569,0.002347393388652155
1,46,1.000762606450237,-8.455893923380676e-05,0.002448013786502004,0.002449473762486185
1,47,1.00074693001022,-8.353650042815983e-05,0.00254911796118941,0.002550486370667807
1,48,1.000730498583095,-8.224369997988322e-05,0.002648811411535446,0.002650087907988485
1,49,1.000713339859989,-8.0683059127461e-05,0.002746768669859197,0.002747953398758835
1,50,1.000695485686187,-7.885875826670065e-05,0.002842651815927398,0.00284374542643161
1,51,1.000676972201776,-7.67766214534622e-05,0.00293614507163938,0.002937148707728982
1,52,1.000657839336751,-7.444409509302687e-05,0.003026924384624913,0.00302783968425198
1,53,1.000638130880851,-7.1870208043855e-05,0.003114691630454711,0.003115520707623188
1,54,1.000617893895359,-6.906551529272662e-05,0.003199144404002805,0.00319988983608266
1,55,1.000597178720663,-6.604203565697149e-05,0.003280009846506425,0.003280674647637711
1,56,1.000576038316491,-6.281316329743514e-05,0.003357014491439127,0.003357602089172529
1,57,1.000554528219522,-5.939358653276091e-05,0.003429917739772447,0.003430431940693031
1,58,1.000532705827361,-5.579917140605221e-05,0.003498481615160553,0.003498926572414174
1,59,1.000510630321466,-5.204686634385655e-05,0.00356250392006529,0.003562884092526275
1,60,1.000488361912728,-4.815456311504341e-05,0.003621787765933534,0.00362210787848935
1,61,1.000465961746934,-4.414099298611332e-05,0.003676174454726184,0.003676439452628475
1,62,1.000443491131288,-4.002557101959144e-05,0.003725512662722026,0.003725727666703191
1,63,1.000421011440279,-3.582828994985601e-05,0.003769691105800587,0.003769861363434044
1,64,1.000398583342738,-3.156955437516544e-05,0.003808607269782552,0.003808738107589435
1,65,1.000376266725734,-2.727007859626801e-05,0.003842199932391452,0.003842296706093313
1,66,1.000354119940819,-2.295071687027377e-05,0.003870417348153887,0.003870485393887364
1,67,1.000332199761666,-1.863237204254654e-05,0.003893249715143155,0.003893294300428648
1,68,1.000310560666463,-1.433582842616577e-05,0.003910696737212692,0.003910723013257606
1,69,1.00028925484333,-1.008167599564793e-05,0.003922800137648145,0.003922813092682748
